Nom,Info,Unit,Source,Correctif,Etape,Identifiant Ecobalyse,Utilisation de ressouces en eau (m³e),Coût environnemental (Pts),Score PEF (µPt PEF),Recyclabilite
Laine par défaut,Textile > Matières > Matières naturelles,kg,ecoinvent 3.9.1 adapté par l’ADEME  et le MTECT ,,Matières,1fc3e17d-5661-429d-a150-7986eae16d9d,16.3,4263.1,4646.85,0.7
"Production de chanvre ensoleillé, RoW",Textile > Matières > Matières naturelles,kg,Ecoinvent 3.9.1,,Matières,0c1a4654-b030-4fe1-86b7-d96ce0b85bb8,1.56,301.9,62.44,0.7
"Production de fibre de coton ,égrenage RoW",Textile > Matières > Matières naturelles,kg,Ecoinvent 3.9.1,,Matières,62a4d6fb-3276-4ba5-93a3-889ecd3bff84,32.3,1791.81,775.31,0.85
"Production de fibre de jute, rouissage, RoW",Textile > Matières > Matières naturelles,kg,Ecoinvent 3.9.1,,Matières,a09b2677-2900-4417-a202-e5f9a1abcce1,6.08,907.27,806.6,0.7
"Production de fibre, lin,rouissage, RoW",Textile > Matières > Matières naturelles,kg,Ecoinvent 3.9.1,,Matières,a52e486c-b67e-40af-8337-e8143cbf9076,3.47,256.24,257.4,0.7
"Production de fibres de coton biologique, égrenage, RoW",Textile > Matières > Matières naturelles,kg,ecoinvent 3.9.1 adapté par l’ADEME  et le MTECT ,,Matières,a1c1c2ec-33b1-49d6-bf8e-139e2eb7f097,32.2,618.96,736.22,0.85
Laine nouvelle filière,Textile > Matières > Matières naturelles uuid_bi=376bd165-d354-41aa-a6e3-fd3228413bb2,kg,ecoinvent 3.9.1 adapté par l’ADEME  et le MTECT ,,Matières,72e29a61-52a9-4eb5-b3fc-5fb87edea041,1.76,460.88,502.36,0.7
"Production de fibre de viscose, recyclée, post-consommation ,GLO",Textile > Matières > Matières recyclées,kg,Ecoinvent 3.9.1,,Matières,c087d394-5901-4b03-ba7a-7d4b0db0490c,0.0362,61.71,66.11,0.2
"Production de fil de coton recyclé (recyclage mécanique), traitement de déchets de production textiles, inventaire partiellement agrégé, FR",Textile > Matières > Matières recyclées uuid_bi=2b24abb0-c1ec-4298-9b58-350904a26104,kg,Base Impacts 2.01,"Ajout données ""EP&L Kering"" pour la consommation d'eau",Matières,d3d20384-88fb-4c75-ac12-c647365ac6c5,0,169.75,206.43,0.6
"Production de fil de coton recyclé (recyclage mécanique), traitement de déchets textiles post-consommation, inventaire partiellement agrégé, FR",Textile > Matières > Matières recyclées uuid_bi=4d23093d-1346-4018-8c0f-7aae33c67bcd,kg,Base Impacts 2.01,"Ajout données ""EP&L Kering"" pour la consommation d'eau",Matières,457e9b0d-9eda-4dca-b199-deeb0a154fa9,0,184.39,227.57,0.6
"Elasthane (Lycra), GLO",Textile > Matières > Matières synthétiques,kg,ecoinvent 3.9.1 adapté par l’ADEME  et le MTECT ,,Matières,9973088b-c929-4cc5-894a-1e4d28c161d4,5.03,1042.59,657,0
"Fibre de  viscose, marché, GLO",Textile > Matières > Matières synthétiques,kg,Ecoinvent 3.9.1,,Matières,c087d394-5901-4b03-ba7a-7d4b0db0490c,2.32,354.43,356.17,0.7
"Production de goutte de polyméthacrylate de méthyle, RoW",Textile > Matières > Matières synthétiques,kg,Ecoinvent 3.9.1,,Matières,49a0bec0-f9f3-42db-a514-a9dcf06a8969,1.2,500.22,557.56,0.55
"Production de granulé de polyéthylène téréphtalate, amorphe, recyclé,RoW",Textile > Matières > Matières synthétiques,kg,Ecoinvent 3.9.1,,Matières,8f44c680-1263-4588-b79b-a9e4dc3d8de4,0.0499,134.82,140.15,0.9
"Production de granulés de polyéthylène téréphtalate, amorphe,RoW,",Textile > Matières > Matières synthétiques,kg,Ecoinvent 3.9.1,,Matières,9dba0e95-0c35-4f8b-9267-62ddf47d4984,0.238,272.89,299.21,0.9
Production de granulés de polypropylène RoW,Textile > Matières > Matières synthétiques,kg,Ecoinvent 3.9.1,,Matières,73ef624d-250e-4a9a-af5d-43505b21b527,0.831,207.02,230.83,0.55
"Production de nylon 6-6,RoW",Textile > Matières > Matières synthétiques,kg,Ecoinvent 3.9.1,,Matières,c84280ff-e921-4d5c-92d6-51030bf4f74e,1.58,518.18,570.23,0.8
Acier,,unit,,,,custom-acier,0.3,300,300,0.9
Laiton,,unit,,,,custom-laiton,0.5,400,400,0.9
Gomme,,unit,,,,custom-gomme,0.7,207.02,230.83,0.5
Polyamide(accessorie),,unit,,,,custom-polyamide,1.58,518.18,570.23,0.8
Zamak,,unit,,,,custom-zamak,0.6,400,400,0.9
Cuir,,,,,,custom-cuir,0.5,58,400,0.4
